type,area,car,ele_1,ele_0,lob_1,lob_0,res_1,res_0,ser_1,ser_0,sha_1,sha_0,sta_1,sta_0
elevator,10.23,1.064962726304579,0,1,1,0,0,1,0,0,0,0,0,0
elevator,9.57,1.1376564277588168,0,1,1,1,0,1,0,0,0,0,0,0
elevator,9.57,1.1376564277588168,0,1,1,2,0,0,0,0,0,0,0,0
elevator,5.58,1.269035532994924,0,3,1,1,0,0,0,0,0,0,0,0
elevator,10.23,1.064962726304579,0,2,1,0,0,0,0,0,0,1,0,0
elevator,10.23,1.064962726304579,0,1,1,0,0,1,0,0,0,0,0,0
elevator,9.57,1.1376564277588168,0,1,1,1,0,1,0,0,0,0,0,0
elevator,9.57,1.1376564277588168,0,2,1,0,0,1,0,0,0,0,0,0
elevator,5.58,1.269035532994924,0,2,1,0,0,0,0,1,0,0,0,0
elevator,10.23,1.064962726304579,0,1,1,0,0,0,0,1,0,1,0,0
elevator,10.5,1.167,0,2,1,0,0,0,0,0,0,1,0,1
lobby,6.72,2.985074626865672,0,2,3,0,1,0,0,0,0,1,0,0
lobby,9.63,4.2735042735042725,0,3,1,0,0,0,0,0,0,0,0,1
lobby,49.91,5.194,10,0,2,0,0,0,0,0,0,0,0,0
lobby,9.45,4.201680672268908,0,2,2,0,1,0,1,0,0,1,0,0
lobby,6.75,3.003003003003003,0,0,1,0,0,0,0,0,0,4,1,0
lobby,9.9,1.1,0,0,1,0,0,0,0,0,0,4,1,0
restroom,28.26,1.020408163265306,0,2,1,0,0,0,0,0,0,2,0,0
restroom,28.14,1.0162601626016259,0,2,1,0,0,0,0,0,0,2,0,0
service,21.215999999999998,2.1790000000000003,0,3,1,0,0,0,0,0,0,1,0,1
shaft,8.88,4.053999999999999,0,0,0,1,0,1,0,0,0,1,0,0
shaft,12.728,5.811,0,0,0,2,0,1,0,0,0,1,0,0
shaft,8.46,2.610966057441253,0,0,0,1,0,0,0,0,0,2,0,1
shaft,1.44,2.2522522522522523,0,0,0,1,0,0,0,0,0,1,0,1
shaft,11.015999999999998,3.4013605442176877,0,2,0,0,0,0,0,0,0,1,0,1
shaft,8.46,2.610966057441253,0,0,0,2,0,1,0,0,0,1,0,0
shaft,1.44,2.2522522522522523,0,0,0,1,0,0,0,0,0,1,0,1
shaft,10.98,3.389830508474577,0,1,0,0,0,0,0,1,0,1,0,1
shaft,8.4,4.2860000000000005,0,0,0,1,0,1,0,0,0,1,0,0
shaft,12.04,6.143,0,0,0,1,0,0,0,0,0,2,0,1
stair,18.96,2.267,0,1,1,1,0,0,0,0,0,3,0,0
stair,19.64,2.194,0,0,1,0,0,0,0,1,0,3,0,0
